aX,aY,aZ,gX,gY,gZ
0.312,-0.128,1.112,-6.531,-0.793,-12.573
0.313,-0.123,1.101,-8.24,-0.732,-12.695
0.314,-0.12,1.094,-9.705,-0.854,-12.695
0.313,-0.115,1.083,-10.742,-0.793,-12.939
0.313,-0.11,1.068,-11.475,-0.427,-13
0.313,-0.105,1.06,-11.963,-0.244,-13.062
0.312,-0.098,1.056,-11.597,0.488,-13.062
0.309,-0.094,1.055,-11.292,1.343,-13.245
0.306,-0.089,1.063,-10.803,2.258,-13.428
0.304,-0.084,1.07,-10.132,3.052,-13.733
0.301,-0.077,1.077,-9.521,3.418,-13.977
0.299,-0.067,1.083,-8.972,3.784,-14.038
0.296,-0.052,1.091,-8.667,3.784,-14.16
0.297,-0.041,1.099,-8.24,3.479,-14.221
0.292,-0.033,1.105,-7.874,3.235,-13.916
0.291,-0.03,1.109,-7.568,2.808,-13.611
0.286,-0.029,1.11,-7.141,2.686,-13.184
0.284,-0.03,1.121,-6.775,2.38,-12.817
0.282,-0.032,1.136,-6.165,1.709,-12.39
0.28,-0.036,1.149,-5.615,0.854,-12.024
0.278,-0.039,1.158,-5.188,-0.061,-11.902
0.278,-0.037,1.165,-4.639,-1.221,-12.024
0.278,-0.032,1.151,-4.272,-2.319,-12.085
0.278,-0.026,1.126,-3.235,-2.93,-11.963
0.277,-0.021,1.101,-2.075,-3.052,-12.085
0.274,-0.019,1.085,-0.854,-2.563,-11.963
0.27,-0.019,1.084,0.732,-1.77,-11.78
0.265,-0.02,1.086,2.38,-0.793,-11.841
0.259,-0.022,1.094,3.967,-0.122,-11.78
0.255,-0.025,1.1,5.554,0.244,-11.902
0.253,-0.022,1.103,6.531,0.122,-11.902
0.254,-0.018,1.107,7.08,-0.122,-12.024
0.258,-0.014,1.121,7.507,-0.671,-12.085
0.262,-0.01,1.128,7.629,-1.404,-12.146
0.266,-0.006,1.122,7.324,-2.258,-11.963
0.268,-0.005,1.113,7.019,-2.869,-11.78
0.269,-0.01,1.11,6.714,-3.296,-11.414
0.268,-0.017,1.101,6.348,-3.418,-11.292
0.266,-0.025,1.094,6.104,-3.54,-10.925
0.261,-0.035,1.097,5.92,-3.723,-10.803
0.257,-0.043,1.103,5.676,-3.906,-10.803
0.254,-0.047,1.099,5.371,-4.395,-11.23
0.254,-0.047,1.091,4.883,-5.188,-11.536
0.255,-0.044,1.082,4.395,-5.981,-11.658
0.259,-0.041,1.08,3.296,-6.714,-11.78
0.258,-0.038,1.077,2.258,-7.385,-11.78
0.259,-0.039,1.072,0.61,-8.057,-11.719
0.258,-0.043,1.065,-0.977,-8.545,-11.719
0.257,-0.049,1.063,-2.258,-8.728,-11.719
0.257,-0.052,1.058,-3.601,-9.033,-11.841
0.257,-0.054,1.049,-5.066,-9.033,-11.902
0.254,-0.051,1.035,-6.409,-9.155,-12.146
0.254,-0.045,1.025,-7.019,-9.155,-12.329
0.253,-0.034,1.018,-7.812,-9.338,-12.634
0.254,-0.028,1.011,-8.362,-9.338,-12.695
0.253,-0.02,1.006,-8.911,-9.094,-12.756
0.253,-0.015,1.005,-8.911,-9.033,-12.634
0.252,-0.012,1.004,-8.972,-8.667,-12.39
0.251,-0.007,1.001,-8.728,-8.484,-12.329
0.249,-0.002,0.993,-8.301,-8.179,-12.146
0.246,0.002,0.983,-7.568,-7.629,-12.024
0.244,0.008,0.974,-6.775,-6.897,-11.719
0.242,0.014,0.968,-5.981,-6.165,-11.414
0.241,0.02,0.966,-5.188,-5.127,-10.986
0.24,0.021,0.972,-4.028,-4.272,-10.803
0.24,0.023,0.984,-3.052,-3.601,-10.254
0.24,0.021,1,-2.258,-3.113,-9.827
0.238,0.019,1.016,-1.404,-2.808,-9.155
0.237,0.022,1.028,-0.916,-3.052,-8.667
0.234,0.026,1.032,-0.305,-3.235,-8.057
0.23,0.031,1.026,0.183,-3.784,-7.263
0.228,0.037,1.014,0.671,-4.272,-6.409
0.227,0.041,1.001,1.099,-4.456,-5.493
0.226,0.042,0.996,1.587,-4.456,-4.456
0.224,0.035,0.997,2.014,-4.395,-3.54
0.225,0.026,0.999,2.686,-4.15,-2.991
0.226,0.013,1.004,3.113,-4.15,-2.563
0.226,0.004,1.008,3.723,-4.15,-2.014
0.226,-0.003,1.008,3.906,-4.272,-1.526
0.227,-0.008,1.005,4.272,-4.211,-1.038
0.227,-0.012,0.994,4.639,-3.967,-0.488
0.229,-0.016,0.984,5.005,-3.296,-0.061
0.229,-0.02,0.985,5.615,-2.869,0.427
0.231,-0.026,0.997,5.92,-2.441,0.549
0.229,-0.034,1.008,5.92,-2.014,0.732
0.229,-0.039,1.021,5.859,-1.709,1.038
0.229,-0.042,1.025,5.859,-1.77,1.221
0.229,-0.045,1.016,5.676,-1.953,1.282
0.231,-0.047,1.001,5.432,-2.014,1.404
0.232,-0.051,1.001,5.127,-1.77,1.221
0.233,-0.053,1.007,5.005,-1.526,1.221
,,,,,
0.292,-0.005,1.379,8.301,-8.057,5.127
0.289,-0.021,1.431,9.949,-9.949,5.554
0.282,-0.036,1.472,11.78,-12.329,5.798
0.271,-0.051,1.51,14.038,-15.137,6.042
0.261,-0.061,1.55,16.296,-18.372,6.287
0.253,-0.063,1.588,18.127,-21.973,6.348
0.242,-0.066,1.606,19.897,-25.452,6.47
0.232,-0.067,1.608,21.484,-28.992,6.531
0.215,-0.069,1.595,22.644,-32.41,6.775
0.197,-0.074,1.585,23.743,-35.828,7.141
0.183,-0.079,1.571,24.597,-38.94,7.629
0.17,-0.087,1.56,24.719,-42.053,8.24
0.161,-0.094,1.552,24.658,-44.861,8.789
0.157,-0.097,1.537,23.865,-47.546,9.277
0.151,-0.096,1.498,22.705,-49.988,9.705
0.143,-0.081,1.433,21.79,-51.758,10.437
0.135,-0.068,1.356,21.118,-52.917,11.414
0.129,-0.062,1.294,21.057,-52.979,13
0.124,-0.066,1.245,21.057,-52.124,14.893
0.12,-0.08,1.199,21.606,-50.842,16.602
0.116,-0.098,1.146,22.034,-48.645,18.372
0.114,-0.104,1.106,22.705,-45.654,19.714
0.11,-0.107,1.072,23.499,-42.053,21.118
0.1,-0.115,1.045,23.804,-37.72,22.339
