aX,aY,aZ,gX,gY,gZ
-0.151,-0.325,1.146,0.061,8.423,-7.874
-0.144,-0.316,1.131,-0.183,6.775,-9.155
-0.139,-0.303,1.113,0.061,5.31,-10.559
-0.134,-0.291,1.089,0.061,4.089,-11.902
-0.131,-0.282,1.067,0.427,3.174,-13.184
-0.124,-0.278,1.056,0.732,2.625,-14.282
-0.116,-0.278,1.047,1.221,2.319,-15.381
-0.11,-0.274,1.037,1.404,2.197,-16.296
-0.105,-0.27,1.034,1.648,2.258,-17.029
-0.102,-0.261,1.04,2.014,2.625,-17.761
-0.099,-0.248,1.043,2.625,2.686,-18.372
-0.093,-0.235,1.042,3.357,2.808,-18.738
-0.086,-0.223,1.033,4.089,2.869,-19.287
-0.082,-0.21,1.018,5.066,3.113,-19.714
,,,,,
-0.2,-0.307,1.16,-7.202,-10.681,-1.953
-0.21,-0.314,1.187,-8.301,-11.292,-3.052
-0.217,-0.323,1.21,-9.46,-12.146,-4.211
-0.224,-0.327,1.23,-10.803,-13.489,-5.798
-0.233,-0.332,1.242,-11.841,-15.015,-7.629
-0.241,-0.337,1.255,-13.184,-16.724,-9.705
-0.246,-0.34,1.269,-14.832,-18.799,-11.78
-0.256,-0.338,1.28,-16.296,-21.179,-14.16
-0.274,-0.336,1.285,-18.005,-23.987,-16.296
-0.297,-0.33,1.301,-20.02,-26.733,-18.188
-0.315,-0.322,1.344,-22.034,-29.297,-19.836
-0.328,-0.312,1.395,-23.926,-32.41,-20.996
-0.337,-0.309,1.444,-25.452,-35.645,-22.156
-0.344,-0.312,1.49,-26.978,-39.612,-23.376
-0.345,-0.32,1.527,-28.381,-43.823,-24.78
-0.347,-0.332,1.553,-29.663,-48.462,-26.55
-0.345,-0.337,1.578,-30.518,-53.345,-28.748
-0.341,-0.335,1.606,-31.494,-58.35,-31.433
-0.336,-0.325,1.632,-32.41,-63.782,-33.997
-0.335,-0.309,1.654,-33.386,-69.153,-36.682
-0.331,-0.289,1.677,-34.729,-74.768,-39.246
-0.33,-0.273,1.701,-36.133,-80.505,-41.626
-0.327,-0.269,1.732,-37.537,-86.304,-44.006
-0.319,-0.264,1.764,-39.185,-92.163,-46.204
-0.303,-0.25,1.792,-41.016,-98.45,-48.462
-0.286,-0.227,1.809,-43.091,-105.042,-50.903
-0.273,-0.201,1.809,-45.227,-111.816,-53.101
-0.258,-0.171,1.816,-47.424,-118.774,-54.932
-0.244,-0.145,1.814,-49.805,-125.671,-56.763
-0.231,-0.121,1.803,-52.612,-132.568,-57.8
-0.219,-0.1,1.79,-56.335,-139.221,-58.777
-0.204,-0.079,1.772,-60.12,-145.691,-59.509
-0.191,-0.059,1.746,-64.026,-151.733,-60.059
-0.179,-0.038,1.709,-67.993,-157.471,-60.669
-0.174,-0.016,1.651,-72.021,-162.598,-61.035
-0.176,0.005,1.59,-75.867,-166.809,-61.401
-0.179,0.027,1.539,-79.956,-170.227,-61.34
-0.184,0.048,1.49,-84.106,-173.096,-60.974
-0.192,0.066,1.449,-88.501,-175.049,-60.425
-0.199,0.081,1.416,-92.651,-176.575,-59.814
-0.203,0.096,1.392,-97.107,-177.612,-58.96
-0.209,0.11,1.37,-101.318,-178.65,-58.044
-0.209,0.125,1.35,-105.469,-179.504,-57.007
-0.205,0.147,1.327,-109.253,-180.237,-56.396
-0.2,0.169,1.296,-112.549,-180.969,-55.908
-0.196,0.187,1.269,-115.479,-182.129,-55.298
-0.192,0.206,1.24,-118.225,-183.35,-54.504
-0.189,0.218,1.203,-121.277,-184.448,-53.772
-0.188,0.22,1.162,-124.451,-186.096,-52.856
-0.187,0.222,1.105,-127.625,-187.561,-51.697
-0.188,0.221,1.041,-131.226,-188.843,-50.476
-0.191,0.224,0.978,-134.888,-189.819,-49.011
-0.192,0.229,0.901,-138.489,-190.491,-47.546
-0.196,0.234,0.821,-141.785,-190.613,-46.143
-0.203,0.239,0.746,-144.958,-190.063,-44.373
-0.212,0.248,0.679,-148.071,-189.087,-42.786
-0.22,0.257,0.615,-150.513,-187.195,-41.077
-0.229,0.258,0.55,-152.527,-185.059,-39.368
