aX,aY,aZ,gX,gY,gZ
0.012,-0.432,0.779,-5.493,18.799,10.498
0.03,-0.449,0.77,-5.432,20.447,10.986
0.046,-0.466,0.747,-5.432,21.912,10.986
0.059,-0.476,0.719,-5.31,23.743,10.742
0.076,-0.477,0.718,-5.493,25.513,10.437
0.091,-0.483,0.763,-5.981,27.405,9.949
0.104,-0.499,0.833,-7.08,28.503,9.216
0.117,-0.504,0.882,-8.728,28.748,8.118
0.128,-0.5,0.911,-10.376,28.32,6.592
0.141,-0.481,0.924,-12.451,27.588,5.188
0.157,-0.453,0.923,-14.099,26.123,3.723
0.17,-0.425,0.922,-16.052,24.475,2.93
0.179,-0.409,0.918,-17.334,22.888,2.258
0.177,-0.408,0.927,-18.25,21.423,1.831
0.167,-0.424,0.94,-18.372,20.02,1.465
0.16,-0.447,0.944,-18.188,18.616,0.549
0.159,-0.465,0.948,-17.334,17.212,-1.099
0.165,-0.471,0.944,-15.808,16.113,-2.686
0.176,-0.458,0.919,-13.977,15.137,-4.333
0.19,-0.427,0.887,-11.902,14.526,-6.226
0.202,-0.393,0.874,-10.071,14.465,-7.629
0.203,-0.358,0.885,-8.24,15.259,-8.728
0.197,-0.344,0.891,-6.836,15.93,-9.46
0.195,-0.347,0.879,-6.042,16.785,-9.827
0.2,-0.357,0.86,-5.005,17.944,-10.62
0.21,-0.364,0.85,-3.662,19.226,-11.719
0.226,-0.361,0.844,-1.953,20.142,-12.939
0.242,-0.344,0.842,-0.061,20.935,-14.282
0.251,-0.328,0.876,2.075,21.606,-15.381
0.255,-0.312,0.942,3.662,21.851,-16.052
0.252,-0.296,0.998,4.639,21.118,-16.418
0.253,-0.284,1.022,5.005,19.714,-16.418
0.256,-0.278,1.024,5.127,18.005,-16.174
0.257,-0.278,1.018,5.066,16.174,-15.747
0.261,-0.281,1.005,5.188,14.343,-15.198
0.267,-0.283,1,5.31,12.573,-14.526
0.27,-0.284,1.007,5.676,10.437,-13.794
0.272,-0.279,1.015,5.92,8.423,-13
0.274,-0.271,1.002,5.981,6.653,-11.963
0.276,-0.263,1.001,5.981,5.005,-10.62
0.275,-0.26,1.001,5.432,3.662,-9.033
0.272,-0.259,0.984,4.7,2.625,-7.507
0.264,-0.263,0.965,3.357,1.953,-5.676
0.258,-0.273,0.944,2.258,1.282,-4.089
0.258,-0.277,0.93,0.732,1.343,-2.93
0.256,-0.277,0.949,-0.732,1.526,-1.526
0.25,-0.273,0.986,-2.319,1.587,-0.061
0.244,-0.268,1.006,-3.967,1.343,1.648
0.239,-0.264,1.003,-5.92,1.16,3.54
0.233,-0.266,0.994,-7.263,0.854,5.066
0.229,-0.271,0.978,-8.484,0.916,6.409
0.226,-0.275,0.955,-9.338,1.099,7.629
0.223,-0.28,0.953,-9.399,1.404,8.423
0.226,-0.281,0.995,-8.728,1.831,9.338
0.222,-0.284,1.055,-7.629,1.77,10.071
0.215,-0.289,1.091,-6.104,1.099,10.498
0.209,-0.296,1.082,-4.456,-0.183,10.742
0.205,-0.3,1.048,-2.441,-1.892,10.62
0.203,-0.295,0.998,-0.183,-3.174,10.437
0.207,-0.286,0.938,2.014,-4.089,10.498
0.208,-0.282,0.896,4.211,-4.395,10.681
0.199,-0.29,0.887,6.592,-4.333,10.803
0.188,-0.306,0.892,8.484,-3.723,11.23
0.183,-0.321,0.895,9.644,-3.357,11.414
0.178,-0.337,0.894,10.01,-2.869,11.597
0.172,-0.343,0.886,9.155,-2.258,11.658
0.169,-0.338,0.863,7.812,-1.892,11.719
