aX,aY,aZ,gX,gY,gZ
-0.206,-0.211,1.21,33.997,77.332,44.434
-0.196,-0.218,1.217,33.691,75.745,42.542
-0.186,-0.222,1.219,33.508,74.158,40.588
-0.178,-0.23,1.214,33.142,72.327,38.818
-0.167,-0.238,1.211,32.715,70.251,36.804
-0.16,-0.246,1.219,32.227,68.298,35.034
-0.149,-0.254,1.229,31.494,66.04,33.325
-0.138,-0.259,1.228,30.823,63.232,31.799
-0.13,-0.263,1.217,30.151,60.669,30.334
-0.123,-0.268,1.201,29.175,57.983,28.503
-0.119,-0.268,1.182,28.259,55.054,27.1
-0.115,-0.271,1.161,27.283,52.185,25.574
-0.111,-0.273,1.148,26.123,49.5,24.292
-0.104,-0.278,1.147,24.902,46.875,22.644
-0.095,-0.282,1.155,23.621,44.312,21.24
-0.086,-0.283,1.167,22.278,41.443,19.592
-0.078,-0.282,1.185,20.813,38.818,17.883
-0.069,-0.28,1.203,19.653,36.072,16.418
-0.06,-0.278,1.21,18.372,33.264,14.954
-0.055,-0.274,1.208,17.395,30.518,13.611
-0.052,-0.268,1.196,16.296,27.954,12.207
-0.05,-0.265,1.181,15.32,25.635,11.108
-0.048,-0.262,1.164,14.038,23.315,9.949
-0.044,-0.262,1.149,13.062,21.118,8.972
-0.04,-0.261,1.133,11.902,18.921,7.996
-0.036,-0.259,1.12,10.803,16.846,7.08
-0.031,-0.252,1.11,9.46,14.832,6.287
-0.025,-0.243,1.1,8.362,13,5.432
-0.021,-0.233,1.092,7.446,11.23,4.7
-0.021,-0.224,1.087,6.714,9.583,3.845
-0.021,-0.215,1.08,6.104,7.874,3.296
-0.019,-0.211,1.076,5.31,6.531,2.991
-0.016,-0.211,1.074,4.7,5.188,2.808
-0.013,-0.209,1.067,3.845,3.906,2.502
-0.01,-0.208,1.06,3.235,2.93,2.258
-0.009,-0.205,1.05,2.869,1.953,2.075
-0.006,-0.2,1.044,2.197,1.16,2.136
-0.003,-0.195,1.042,1.587,0.427,2.136
0,-0.189,1.041,1.16,-0.183,2.258
0.001,-0.183,1.041,0.671,-0.854,2.38
0.004,-0.178,1.043,0.366,-1.343,2.502
0.008,-0.176,1.045,-0.244,-1.709,2.686
0.011,-0.174,1.05,-0.61,-2.136,2.991
0.015,-0.173,1.058,-0.916,-2.563,3.113
0.018,-0.173,1.062,-1.16,-2.93,3.357
0.019,-0.173,1.059,-1.404,-3.235,3.601
0.017,-0.17,1.052,-1.343,-3.479,3.967
0.017,-0.17,1.048,-1.343,-3.723,4.211
0.018,-0.17,1.045,-1.526,-3.906,4.517
0.017,-0.171,1.041,-1.648,-4.211,4.883
0.016,-0.172,1.031,-1.77,-4.272,5.31
0.015,-0.172,1.019,-1.892,-4.395,5.676
0.016,-0.171,1.008,-2.014,-4.395,5.92
0.017,-0.171,1,-2.197,-4.639,6.104
0.018,-0.168,0.995,-2.319,-4.639,6.226
0.02,-0.166,0.996,-2.502,-4.761,6.531
0.021,-0.166,1.002,-2.625,-4.822,6.714
0.022,-0.165,1.009,-2.625,-4.7,6.836
0.024,-0.164,1.014,-2.502,-4.7,6.897
0.026,-0.165,1.019,-2.197,-4.883,7.08
0.027,-0.165,1.027,-2.136,-4.761,7.202
0.03,-0.166,1.036,-2.197,-4.883,7.263
0.031,-0.167,1.036,-2.014,-4.944,7.263
0.032,-0.166,1.036,-1.648,-4.883,7.324
0.033,-0.167,1.033,-1.221,-5.066,7.385
0.031,-0.165,1.025,-1.16,-5.066,7.446
0.028,-0.163,1.017,-0.793,-5.066,7.385
0.026,-0.16,1.011,-0.366,-4.883,7.263
0.025,-0.159,1.009,0,-4.761,7.141
