aX,aY,aZ,gX,gY,gZ
0.053,0.081,0.997,-1.465,-3.967,3.174
0.046,0.084,0.974,-1.526,-3.113,3.296
0.04,0.085,0.965,-1.343,-1.77,3.601
0.041,0.085,0.971,-1.282,-0.488,4.028
0.042,0.079,0.985,-1.16,1.038,4.395
0.047,0.073,1.008,-1.16,2.197,4.944
0.052,0.067,1.041,-0.977,2.625,5.371
0.057,0.065,1.07,-0.854,2.869,5.554
0.059,0.067,1.09,-0.183,2.258,5.615
0.057,0.068,1.087,0.793,1.16,5.615
0.05,0.07,1.063,2.075,0.122,5.798
0.041,0.066,1.033,3.174,-0.427,5.798
0.032,0.058,1.014,4.028,-0.427,5.554
0.028,0.049,1.018,4.517,0.061,5.249
0.03,0.044,1.026,4.822,0.549,5.066
0.036,0.045,1.046,4.761,0.977,4.639
0.044,0.052,1.068,4.272,1.099,4.272
0.05,0.059,1.083,4.272,0.61,4.272
0.052,0.062,1.089,4.333,-0.183,4.272
0.049,0.06,1.084,4.272,-0.916,4.028
0.045,0.054,1.067,4.15,-1.526,3.906
0.037,0.048,1.049,3.967,-2.075,3.723
0.031,0.044,1.04,3.479,-2.014,3.052
0.029,0.044,1.04,2.502,-1.648,2.625
,,,,,
-0.317,-0.098,1.327,21.423,-20.813,-26.855
-0.317,-0.105,1.398,19.714,-24.963,-28.564
-0.315,-0.111,1.458,17.456,-29.846,-30.151
-0.317,-0.113,1.497,14.526,-36.011,-31.982
-0.329,-0.112,1.502,11.536,-42.664,-33.752
-0.349,-0.11,1.486,8.545,-49.622,-35.522
-0.377,-0.107,1.458,5.798,-55.725,-37.476
-0.403,-0.102,1.423,3.601,-60.974,-39.673
-0.43,-0.094,1.398,1.404,-65.491,-41.809
-0.451,-0.081,1.391,-0.305,-69.031,-44.189
-0.461,-0.068,1.407,-1.282,-72.144,-46.753
-0.46,-0.054,1.444,-2.319,-75.256,-49.438
-0.45,-0.042,1.492,-3.113,-79.041,-52.368
-0.434,-0.026,1.557,-3.906,-83.435,-55.237
-0.41,-0.014,1.628,-4.822,-88.867,-57.8
-0.385,-0.003,1.687,-6.165,-95.276,-60.547
-0.365,0.01,1.737,-7.751,-103.027,-62.927
-0.344,0.025,1.778,-10.315,-111.45,-65.491
-0.323,0.037,1.808,-13.55,-120.361,-67.871
-0.306,0.049,1.823,-16.968,-129.456,-69.824
-0.288,0.062,1.822,-20.63,-138.55,-71.716
-0.278,0.07,1.803,-24.658,-147.461,-73.486
-0.269,0.082,1.773,-28.992,-155.579,-75.256
-0.261,0.095,1.736,-33.386,-163.208,-77.026
-0.255,0.109,1.697,-38.452,-169.617,-78.918
-0.247,0.121,1.665,-43.823,-175.11,-80.627
-0.236,0.131,1.64,-49.866,-179.749,-82.031
-0.227,0.142,1.614,-56.519,-183.594,-83.252
-0.223,0.153,1.584,-63.354,-186.89,-84.229
-0.225,0.166,1.559,-70.618,-189.941,-85.144
-0.225,0.184,1.54,-78.003,-192.383,-85.876
-0.227,0.202,1.528,-84.9,-194.458,-86.548
-0.232,0.22,1.514,-91.492,-196.472,-87.158
-0.238,0.238,1.51,-97.229,-198.425,-87.83
-0.24,0.254,1.506,-102.112,-200.073,-88.684
-0.24,0.273,1.499,-106.14,-202.393,-89.661
-0.238,0.283,1.46,-109.619,-204.773,-90.698
-0.236,0.288,1.417,-112.61,-207.153,-91.98
-0.232,0.294,1.352,-115.845,-209.167,-93.506
-0.228,0.294,1.276,-119.934,-211.06,-94.788
-0.223,0.297,1.181,-124.695,-212.097,-96.191
-0.222,0.304,1.085,-130.615,-212.524,-97.351
-0.233,0.314,0.99,-137.817,-212.585,-98.145
-0.248,0.324,0.888,-145.325,-211.548,-98.694
-0.258,0.331,0.813,-153.015,-209.412,-99.182
-0.263,0.347,0.769,-160.706,-206.665,-99.792
-0.266,0.373,0.724,-167.664,-203.552,-100.464
-0.262,0.394,0.672,-173.645,-200.806,-100.83
-0.251,0.404,0.602,-178.955,-198.303,-101.013
-0.231,0.404,0.532,-183.838,-195.984,-100.83
-0.218,0.407,0.443,-188.293,-193.97,-100.281
-0.202,0.403,0.335,-191.895,-191.467,-99.731
-0.18,0.389,0.27,-194.946,-188.843,-98.877
-0.153,0.381,0.24,-197.754,-186.157,-97.656
-0.12,0.383,0.177,-199.585,-183.899,-96.436
-0.099,0.388,0.102,-200.134,-182.129,-94.727
-0.095,0.387,-0.019,-199.829,-180.115,-92.712
-0.107,0.38,-0.139,-198.669,-176.88,-90.393
-0.135,0.381,-0.246,-197.327,-171.692,-87.891
-0.158,0.383,-0.35,-194.763,-164.734,-85.449
-0.17,0.38,-0.419,-191.528,-156.067,-83.557
-0.189,0.38,-0.451,-187.683,-146.729,-81.665
-0.199,0.389,-0.46,-183.838,-136.536,-79.895
-0.198,0.398,-0.455,-179.199,-126.77,-78.43
-0.194,0.403,-0.425,-174.133,-118.042,-76.843
-0.185,0.399,-0.4,-169.128,-109.863,-75.012
-0.177,0.398,-0.369,-164.978,-102.722,-72.998
-0.163,0.399,-0.354,-161.743,-97.168,-70.618
-0.153,0.401,-0.351,-158.997,-92.346,-67.81
-0.153,0.408,-0.371,-156.616,-88.135,-64.331
-0.163,0.412,-0.413,-154.114,-83.74,-61.279
-0.176,0.412,-0.454,-151.123,-79.041,-58.289
-0.183,0.402,-0.494,-147.522,-73.914,-55.481
-0.19,0.389,-0.525,-144.348,-68.298,-52.856
-0.192,0.379,-0.548,-141.296,-62.134,-50.415
-0.192,0.373,-0.584,-138.428,-56.03,-48.34
-0.193,0.37,-0.618,-135.864,-50.293,-46.204
-0.201,0.372,-0.646,-133.423,-44.495,-44.128
-0.208,0.379,-0.652,-130.188,-38.086,-42.053
-0.207,0.379,-0.649,-126.343,-32.104,-40.039
-0.196,0.373,-0.628,-121.826,-26.794,-38.269
-0.186,0.359,-0.615,-116.577,-22.583,-36.682
-0.18,0.347,-0.592,-111.694,-19.104,-34.912
-0.177,0.342,-0.572,-106.873,-16.479,-33.02
-0.172,0.328,-0.576,-101.685,-14.771,-31.128
