aX,aY,aZ,gX,gY,gZ
-0.362,-0.113,1.058,-8.301,-10.132,2.075
-0.385,-0.197,1.085,-17.578,-8.057,8.545
-0.416,-0.217,1.083,-26.062,-3.601,21.79
-0.438,-0.177,1.049,-31.067,1.648,36.743
-0.444,-0.12,1.002,-31.86,4.578,47.546
-0.455,-0.062,0.951,-35.4,4.7,52.246
-0.423,0.009,0.927,-39.49,2.502,52.612
-0.35,0.077,0.931,-30.762,-2.991,50.232
-0.305,0.106,0.983,-17.334,-11.963,47.241
-0.255,0.143,1.073,-12.878,-18.25,43.64
-0.215,0.173,1.183,-11.169,-18.616,38.33
-0.235,0.138,1.28,-5.127,-15.015,27.954
-0.282,0.023,1.329,-8.789,-6.592,11.475
-0.335,-0.12,1.307,-10.376,5.066,-2.441
-0.397,-0.191,1.289,-11.597,17.09,-6.104
-0.414,-0.21,1.209,-3.174,31.555,-3.235
-0.423,-0.198,1.129,-1.953,41.504,-0.488
-0.404,-0.298,1.12,-11.23,41.504,1.465
-0.372,-0.32,1.119,-8.911,43.701,18.677
-0.527,-0.404,1.336,-8.911,50.171,43.396
-0.278,-0.367,1.249,28.564,64.758,64.514
-0.246,-0.107,1.307,13.123,84.534,104.675
-0.324,0.082,1.185,7.08,110.229,124.817
-0.31,0.112,1.183,10.681,130.005,113.77
-0.234,0.055,0.995,28.748,139.465,89.722
-0.169,0.052,0.946,17.212,129.333,67.871
-0.154,0.07,1.032,0.061,105.774,45.471
-0.133,0.041,1.097,-12.573,87.83,22.583
-0.164,-0.044,1.107,-18.86,80.2,4.028
-0.155,-0.177,1.016,-18.921,78.979,-5.615
-0.12,-0.223,0.889,-28.503,73.547,1.77
-0.115,-0.149,0.881,-37.598,56.458,20.63
-0.117,-0.025,0.947,-43.701,38.025,33.63
-0.091,0.095,0.999,-56.763,28.809,34.912
-0.067,0.137,0.983,-63.11,26.917,25.269
-0.069,0.09,0.95,-58.899,24.414,10.986
-0.062,0.04,0.944,-54.749,19.836,0.977
-0.044,0.04,1.029,-51.697,14.648,-2.502
-0.017,0.031,1.129,-44.25,13.672,-2.747
0.022,0.032,1.184,-36.926,19.287,-0.977
0.049,0.058,1.127,-39.856,23.56,-0.732
0.061,0.082,1.098,-57.312,19.226,-4.578
0.017,0.057,1.12,-65.43,10.62,-7.019
-0.032,0.001,1.135,-65.308,6.042,-9.094
-0.053,-0.086,1.133,-68.115,5.066,-9.094
-0.08,-0.177,1.095,-62.073,3.784,-2.808
-0.1,-0.151,1.039,-52.979,3.174,8.85
-0.098,-0.023,1.011,-46.57,0.793,21.484
-0.075,0.085,0.991,-47.302,-3.784,25.879
-0.044,0.169,0.976,-44.128,-8.667,22.4
-0.019,0.227,1.032,-38.086,-14.099,16.479
-0.018,0.212,1.119,-20.508,-12.146,12.39
-0.028,0.168,1.18,0.854,1.465,12.085
-0.028,0.193,1.065,20.63,19.592,13.489
0,0.233,0.972,26.917,25.757,11.108
0.016,0.225,0.913,33.081,15.015,3.967
-0.008,0.174,0.966,20.142,-5.737,-4.211
-0.049,0.06,1.083,7.202,-25.757,-11.658
-0.066,-0.052,1.193,3.174,-34.912,-12.695
-0.09,-0.082,1.219,-1.16,-35.156,-5.493
-0.092,-0.059,1.186,-7.751,-32.166,4.028
-0.071,0.018,1.158,-16.479,-32.104,10.62
-0.068,0.118,1.137,-25.391,-35.522,10.742
-0.136,0.189,1.175,-43.823,-39.49,0.183
-0.173,0.157,1.255,-64.392,-40.1,-16.846
-0.112,0.122,1.251,-69.702,-27.771,-23.621
-0.075,0.09,1.135,-57.617,-10.559,-17.273
-0.096,0.103,1.043,-48.279,-1.77,-5.127
-0.136,0.15,1.02,-44.861,-1.77,3.967
