aX,aY,aZ,gX,gY,gZ
0.022,-0.075,1.003,3.296,-3.601,4.761
0.03,-0.073,1.008,3.662,-3.418,4.7
0.042,-0.07,1.006,3.845,-3.235,4.578
0.05,-0.071,1.001,4.211,-2.991,4.517
0.054,-0.072,1.005,4.7,-2.625,4.333
0.055,-0.076,1.001,5.005,-2.075,4.15
0.052,-0.082,0.993,5.188,-1.526,3.967
0.05,-0.085,0.996,5.493,-1.038,3.723
0.047,-0.085,1.004,5.859,-0.793,3.54
0.039,-0.084,1.006,6.165,-0.732,3.357
0.026,-0.085,1.032,6.653,-0.732,3.174
0.018,-0.083,1.074,7.202,-1.038,3.113
0.016,-0.078,1.101,7.751,-1.831,3.052
0.022,-0.078,1.106,7.874,-2.563,2.93
0.029,-0.084,1.096,7.69,-3.357,2.747
0.031,-0.088,1.065,7.324,-4.028,2.686
0.035,-0.093,1.033,7.324,-4.395,2.441
0.038,-0.099,1.013,6.958,-4.7,2.197
0.039,-0.101,1.006,6.836,-4.761,2.014
0.039,-0.101,1.028,6.897,-4.639,1.526
0.038,-0.099,1.054,7.019,-4.639,1.465
0.041,-0.097,1.072,6.958,-4.7,1.099
0.042,-0.099,1.085,6.531,-4.7,0.916
0.039,-0.104,1.09,6.042,-4.944,0.671
0.035,-0.108,1.082,5.005,-5.371,0.427
0.038,-0.109,1.06,3.906,-5.798,0.183
0.039,-0.11,1.026,2.991,-5.981,-0.122
0.041,-0.111,1.004,2.197,-5.798,-0.427
0.041,-0.111,1.005,1.709,-5.493,-0.61
0.037,-0.111,1.017,1.465,-5.066,-0.671
0.035,-0.11,1.025,1.282,-4.883,-1.16
0.038,-0.115,1.025,1.221,-4.517,-1.465
0.037,-0.117,1.008,1.282,-4.333,-1.648
0.039,-0.117,1,1.282,-3.906,-2.014
0.041,-0.118,1.001,1.099,-3.479,-2.319
0.041,-0.115,1.008,1.099,-3.174,-2.563
0.042,-0.113,1.009,0.916,-2.93,-2.747
0.038,-0.116,1.021,0.793,-2.747,-2.93
0.028,-0.113,1.049,0.916,-2.747,-3.052
0.022,-0.109,1.073,0.854,-3.052,-3.174
